SN,TRAFFIC_ITEM_ID,TRAFFIC_ITEM_TYPE_DESC,CRITICALITY_DESCRIPTION,GEOLOC_ORIGIN_LATITUDE,GEOLOC_ORIGIN_LONGITUDE,GEOLOC_TO_LATITUDE,GEOLOC_TO_LONGITUDE
307,3853366625744093032,ROAD_CLOSURE,critical,30.1011,-94.12675,30.10021,-94.12144
308,3431931007003898535,CONSTRUCTION,minor,31.20106,-92.77035,31.19857,-92.77617
309,4308749235313054694,CONSTRUCTION,minor,32.51086,-92.17464,32.50073,-92.1023
310,3942822097699835289,CONGESTION,minor,29.52547,-95.11812,29.52756,-95.11467
311,3595230441971369721,ROAD_CLOSURE,critical,34.48665,-97.20898,34.49221,-97.19525
312,741395063855136807,CONSTRUCTION,critical,32.98524,-97.17042,32.98218,-97.16817
313,1037341780142316223,CONGESTION,minor,35.50848,-97.57579,35.51016,-97.5759
314,1009276154054886965,CONSTRUCTION,minor,29.01433,-96.6904,28.98283,-96.65736
315,312540073359055197,ROAD_CLOSURE,critical,32.92419,-97.33858,32.92406,-97.33143
316,259503303828169825,CONGESTION,minor,32.83336,-97.21806,32.83258,-97.21282
317,3257552061905674966,CONSTRUCTION,minor,28.66997,-99.97732,28.66519,-99.95778
318,1979297501997406297,ACCIDENT,major,35.47319,-97.50689,35.47319,-97.50689
319,2810196779074302495,ROAD_CLOSURE,critical,32.631,-97.27001,32.631,-97.26628
320,1915896984297135759,ROAD_CLOSURE,critical,32.80907,-97.20861,32.80908,-97.21236
321,4569414776588293059,CONSTRUCTION,critical,35.47725,-97.52431,35.47724,-97.52568
322,4481960160230635402,CONSTRUCTION,critical,32.74863,-96.81055,32.74855,-96.80922
323,2683704661363595069,CONSTRUCTION,minor,30.55361,-92.33866,30.55355,-92.35441
324,75567729926695421,CONSTRUCTION,minor,32.10692,-98.96428,32.08968,-98.96397
325,2647900564122528843,CONSTRUCTION,minor,32.94223,-97.31251,32.94593,-97.3113
326,2672388424398988199,CONSTRUCTION,critical,30.70736,-93.03759,30.70709,-93.03749
327,4391505710162680075,CONSTRUCTION,critical,31.98538,-92.24689,31.99614,-92.2561
328,99455907275000075,CONSTRUCTION,minor,31.77743,-95.6172,31.8924,-95.43119
329,696915166178938542,CONSTRUCTION,minor,31.54594,-93.01055,31.57105,-92.99231
330,2134665855865085920,CONGESTION,minor,29.52989,-95.1104,29.53279,-95.10912
331,1462071290538269161,CONSTRUCTION,minor,29.89407,-96.48966,29.86691,-96.5466
332,3568022425885289738,CONSTRUCTION,minor,34.1142,-99.74524,34.11182,-99.74278
333,1034976641417521335,CONSTRUCTION,minor,32.182124,-94.34752,32.1821,-94.338553
334,1071310409445640993,ROAD_CLOSURE,critical,30.24618,-92.95037,30.24334,-92.92909
335,2355440565072334634,MISCELLANEOUS,critical,31.52542,-92.66938,31.52593,-92.6707
336,187011032130152670,CONSTRUCTION,minor,30.67832,-92.22856,30.6593,-92.19394
337,1955435698322307652,CONSTRUCTION,minor,32.2195,-96.02969,32.24932,-96.0387
338,1135195442519829411,CONSTRUCTION,minor,32.27583,-94.98532,32.32809,-95.13657
339,1372036582495638503,CONSTRUCTION,minor,32.55975,-93.72713,32.55952,-93.7271
340,4226639693435667290,CONSTRUCTION,minor,32.77683,-95.45769,32.70691,-95.48176
341,4291856282732182765,CONSTRUCTION,minor,34.32924,-97.15364,34.32924,-97.15364
342,74683280972077383,CONGESTION,minor,34.81505,-97.30695,34.80859,-97.30582
343,1705505487873491215,ROAD_CLOSURE,critical,34.31408,-92.64491,34.318212,-92.642061
344,1657275471775421492,CONGESTION,minor,32.64516,-96.78961,32.64259,-96.7996
345,3904138300106936954,CONSTRUCTION,minor,32.52802,-97.33104,32.52503,-97.32395
346,1126316339957170720,CONSTRUCTION,minor,31.57361,-94.5611,31.57199,-94.57904
347,2955253337385855151,CONSTRUCTION,minor,33.22099,-96.93602,33.22109,-96.93859
348,933662272622219235,CONSTRUCTION,minor,31.579436,-94.643249,31.5105,-94.60494
349,3816589207995205154,ROAD_CLOSURE,minor,35.44123,-97.41725,35.44193,-97.41844
350,3428692533312836756,CONGESTION,minor,34.57137,-92.59346,34.57058,-92.59464
351,2382783403998144360,CONSTRUCTION,minor,32.75838,-97.0293,32.75724,-97.02929
352,3435701057246450345,ROAD_CLOSURE,critical,29.98655,-95.73636,29.90394,-95.60365
353,681724925028510273,CONGESTION,minor,29.76273,-95.37132,29.76679,-95.36639
354,3646631657417438989,CONSTRUCTION,minor,28.64941,-97.38478,28.33574,-97.2818
355,2835995307555575496,CONSTRUCTION,minor,30.15363,-93.64076,30.12775,-93.70108
356,1896799193748811056,CONSTRUCTION,critical,33.00711,-96.68074,33.00725,-96.68074
357,2048670078254463525,CONSTRUCTION,minor,32.67012,-94.18231,32.67909,-94.18311
358,3633408683568314809,CONSTRUCTION,minor,30.31125,-97.70919,30.34041,-97.69919
359,92019945920207033,ROAD_CLOSURE,critical,30.86524,-93.37488,30.86112,-93.36597
360,4266587686001292304,CONSTRUCTION,minor,31.84514,-98.34285,31.84424,-98.3351
361,395997813441579090,CONGESTION,minor,32.79406,-96.62524,32.79519,-96.6254
362,2081346359508159701,CONSTRUCTION,minor,31.58639,-94.67959,31.53927,-94.69225
363,1051655560479190981,MISCELLANEOUS,critical,32.77018,-93.92877,32.77036,-93.9293
364,3900010583777441607,CONSTRUCTION,minor,28.53677,-99.42487,28.55363,-99.5178
365,189779021868618224,CONSTRUCTION,minor,30.67731,-95.51974,30.68434,-95.52365
366,2567361335211177295,CONSTRUCTION,minor,30.57069,-95.47704,30.5839,-95.47829
367,358399351477329901,CONGESTION,minor,32.67252,-96.9854,32.67261,-96.98603
368,367072260917965052,CONSTRUCTION,minor,31.80937,-95.12712,31.86069,-94.9851
369,1983949846774020583,ROAD_CLOSURE,minor,35.44373,-97.4209,35.44432,-97.42133
370,3427933249675509868,CONSTRUCTION,minor,30.19649,-93.21868,30.17629,-93.21858
371,337281908157126166,CONSTRUCTION,minor,31.53083,-94.12618,31.42595,-94.26798
372,1677965424185379598,CONSTRUCTION,critical,29.32768,-94.93054,29.32762,-94.93044
373,2363689552332556913,CONSTRUCTION,minor,33.85744,-98.52386,33.85625,-98.51551
374,4429444273520248099,CONSTRUCTION,minor,31.33702,-94.69043,31.36829,-94.70712
375,594724236385773516,CONSTRUCTION,minor,33.22109,-96.93859,33.22099,-96.93602
376,2451211036683246131,CONSTRUCTION,minor,29.89161,-97.91361,29.9023,-97.90382
377,3303887759256047292,ROAD_CLOSURE,critical,32.75109,-96.76221,32.75347,-96.76441
378,3094871776155477257,ROAD_CLOSURE,critical,32.78495,-96.79333,32.78367,-96.79255
379,911335817095004594,PLANNED EVENT,minor,35.4622,-97.5162,35.4622,-97.5162
380,515832320066423974,CONSTRUCTION,minor,29.94749,-92.2833,29.99818,-92.2855
381,615973523911790653,CONGESTION,minor,35.51875,-97.51759,35.51701,-97.5171
382,3431853606826983174,CONSTRUCTION,minor,30.12759,-93.70099,30.15301,-93.64157
383,3434473461393807839,CONSTRUCTION,minor,32.07816,-99.91604,31.7462,-99.93568
384,2112444555110690348,CONGESTION,minor,32.67618,-97.03483,32.67622,-97.03963
385,4196669816697188196,CONSTRUCTION,minor,29.76121,-93.6264,29.76123,-93.627909
386,4308790896087256958,ROAD_CLOSURE,critical,32.89861,-97.0589,32.89908,-97.05891
387,3137094830934806751,CONSTRUCTION,minor,33.46762,-95.05563,33.49126,-95.10476
388,1531010183765590595,CONSTRUCTION,minor,28.6432,-99.85404,28.626781,-99.847611
389,1017026605602415139,CONSTRUCTION,minor,31.8924,-95.43119,31.77761,-95.61692
390,1433378062960128922,CONGESTION,minor,30.33374,-97.75581,30.32585,-97.75599
391,2176410037048076431,CONSTRUCTION,minor,35.84212,-97.70995,35.84223,-97.67436
392,4131015811396168734,CONSTRUCTION,minor,30.55355,-92.35441,30.55361,-92.33866
393,2585766903667255247,CONSTRUCTION,minor,30.74087,-95.60038,30.74128,-95.60191
394,2156134969095331776,CONSTRUCTION,minor,28.532135,-99.398617,28.45465,-99.26733
395,3355603206410987893,CONSTRUCTION,minor,34.71967,-100.52982,34.69939,-100.50376
396,2467421644481713526,CONSTRUCTION,minor,28.61719,-96.62464,28.63592,-96.61702
397,3164179813651586059,CONGESTION,minor,33.12242,-96.82255,33.10887,-96.82369
398,2177976990413051376,CONSTRUCTION,minor,31.84777,-97.73791,31.91547,-97.66537
399,1409199664393671880,CONSTRUCTION,minor,31.38506,-94.75836,31.369477,-94.75539
400,1331201379489982240,CONSTRUCTION,minor,31.34006,-92.42381,31.33972,-92.42409
401,3055508374870077979,CONSTRUCTION,minor,30.30135,-94.18577,30.28575,-94.19214
402,3010095609988937848,CONSTRUCTION,minor,32.40205,-93.79405,32.40206,-93.79566
403,455914427420797922,CONSTRUCTION,minor,31.621499,-93.973901,31.620338,-93.970808
404,1269238960383320865,CONGESTION,minor,32.83682,-96.92775,32.83682,-96.92522
405,1633487593447867888,CONSTRUCTION,minor,35.84223,-97.67436,35.84212,-97.70995
406,2688445068237131114,CONGESTION,minor,29.72043,-95.46015,29.72543,-95.46021
407,3746619524336285753,CONSTRUCTION,minor,29.68428,-98.95835,29.64688,-98.94544
408,880256986543760380,CONSTRUCTION,critical,31.2321,-92.35425,31.21508,-92.3527
409,2540608115892835419,ROAD_CLOSURE,critical,31.13414,-94.87023,31.13647,-94.87195
410,4496093443340678635,ACCIDENT,major,29.48419,-95.10233,29.48419,-95.10233
411,4611232059248265068,CONGESTION,minor,29.74092,-95.36583,29.73679,-95.36907
412,4008294525441195062,CONSTRUCTION,minor,28.32941,-99.7027,28.3688,-99.64085
413,4080093423338191743,ROAD_CLOSURE,critical,32.91618,-96.86905,32.91489,-96.86737
414,3254749643622518769,ROAD_CLOSURE,critical,32.754272,-97.415556,32.759603,-97.415696
415,4653362269012843227,CONSTRUCTION,minor,32.51252,-93.71319,32.49897,-93.69223
416,2434471527546244984,CONSTRUCTION,minor,33.490211,-96.050853,33.483903,-95.943591
417,100669882651033697,CONSTRUCTION,minor,28.99703,-95.91639,28.98367,-95.93881
418,304896111608557254,CONSTRUCTION,minor,31.52186,-95.59075,31.490365,-95.481612
419,2057277330525950264,CONSTRUCTION,minor,32.22667,-95.2206,32.22726,-95.2206
420,3722930056843882145,MISCELLANEOUS,critical,32.46291,-92.17624,32.45055,-92.19591
421,1167303716136625743,CONSTRUCTION,critical,32.656213,-96.979966,32.643783,-97.014212
422,1040552089665299643,CONSTRUCTION,minor,30.71035,-94.91405,30.69853,-94.79169
423,3431415993969183262,ROAD_CLOSURE,critical,32.91273,-96.8771,32.91369,-96.87733
424,300132458585590844,ROAD_CLOSURE,critical,31.60811,-96.65867,31.60609,-96.65409
425,4560246370264815304,CONGESTION,minor,29.71913,-95.5477,29.71879,-95.55184
426,1913470548960246324,CONSTRUCTION,minor,31.260718,-93.006207,31.226029,-92.897483
427,2683592045789398770,CONSTRUCTION,minor,32.55853,-93.72666,32.55886,-93.72877
428,2107189723698820009,ROAD_CLOSURE,critical,32.47198,-93.99702,32.47204,-94.00667
429,4399381006145653343,ROAD_CLOSURE,critical,31.60973,-93.5019,31.59239,-93.51601
430,4037764635111456554,CONGESTION,minor,29.52014,-98.48957,29.52007,-98.48344
431,119833087089894723,ROAD_CLOSURE,critical,29.49721,-98.19503,29.49805,-98.19594
432,4133394636694300257,CONSTRUCTION,critical,31.996054,-92.256091,31.985403,-92.24703
433,2078487753384408720,CONSTRUCTION,minor,32.37453,-98.98846,32.41461,-98.74654
434,44499013390370120,CONSTRUCTION,minor,32.62708,-93.88754,32.68045,-93.84474
435,3889833247791296923,CONSTRUCTION,minor,31.2262,-92.89749,31.26095,-93.00644
436,3327450985057502457,ROAD_CLOSURE,critical,32.78473,-96.79274,32.78518,-96.79347
437,3423005390655663416,CONSTRUCTION,minor,29.98403,-98.28716,29.98039,-98.28016
438,4059965647356313171,ROAD_CLOSURE,critical,31.13647,-94.87195,31.13428,-94.87033
439,2945845280063969148,ROAD_CLOSURE,critical,31.24423,-92.27558,31.2318,-92.2668
440,747305265170841334,CONGESTION,minor,29.62917,-98.2329,29.62503,-98.24103
441,2160559831801796390,CONGESTION,minor,30.09611,-94.13095,30.09666,-94.13429
442,3668095655708846950,CONGESTION,minor,29.80378,-94.9879,29.80316,-94.99188
443,265691347666274977,CONSTRUCTION,minor,35.98925,-95.86863,35.98833,-95.86863
444,4666038557372327080,CONSTRUCTION,critical,34.74606,-92.26127,34.746179,-92.26297
445,545688040521408642,CONSTRUCTION,minor,31.912119,-94.361273,31.85724,-94.32471
446,2122403393543684367,ROAD_CLOSURE,critical,32.49851,-98.52229,32.48615,-98.56639
447,882863769787922802,CONSTRUCTION,minor,33.27325,-94.35143,33.23589,-94.35098
448,1920849838110082944,CONGESTION,minor,32.74978,-97.72331,32.74802,-97.72984
449,4092312318726714530,ROAD_CLOSURE,critical,32.7449,-96.81318,32.74503,-96.81281
450,3816143171922971604,CONGESTION,minor,30.28782,-97.76236,30.29214,-97.75981
451,600310527156233694,PLANNED EVENT,critical,35.46999,-97.52126,35.46783,-97.52126
452,1166607247001960567,ACCIDENT,minor,30.26744,-97.73684,30.26744,-97.73684
453,419268916519311802,CONSTRUCTION,critical,34.75305,-92.26189,34.753,-92.26072
454,3478707904663581821,ROAD_CLOSURE,critical,29.34803,-94.95728,29.34909,-94.95914
455,3602764348823583970,CONGESTION,minor,29.76906,-95.34177,29.76776,-95.34472
456,159878052405983510,ROAD_CLOSURE,critical,33.284784,-96.625924,33.28277,-96.626089
457,4374105365882111948,CONSTRUCTION,critical,32.63105,-97.3043,32.63939,-97.3043
458,296875031538784968,CONSTRUCTION,minor,32.442708,-95.128702,32.514034,-94.987627
459,128311214825159134,CONSTRUCTION,critical,32.63522,-97.30632,32.63521,-97.30426
460,1870222443139230079,ROAD_CLOSURE,critical,32.6942,-96.84422,32.70572,-96.83145
461,4083095629231137371,CONSTRUCTION,minor,31.57207,-94.57924,31.57361,-94.5611
462,9536793345804493,CONSTRUCTION,minor,32.49408,-94.16187,32.52921,-94.28059
463,1128724104313379661,CONSTRUCTION,critical,31.34454,-92.67517,31.32988,-92.68138
464,2593708433094983060,CONSTRUCTION,minor,33.219113,-96.820113,33.072027,-96.824514
465,161218242191371884,CONSTRUCTION,minor,30.58674,-96.32792,30.6084,-96.36977
466,3366040831374970132,CONSTRUCTION,minor,31.57135,-94.54071,31.56154,-94.50898
467,349168850205209258,CONSTRUCTION,minor,33.49366,-97.16279,33.64242,-97.15565
468,2238161724795331715,CONSTRUCTION,minor,35.08122,-100.38272,35.08123,-100.36487
469,116556351451497441,ROAD_CLOSURE,critical,28.65905,-98.77826,28.65931,-98.75539
470,1708578628049047054,CONSTRUCTION,minor,31.65072,-95.07272,31.5796,-95.16552
471,2881101318889799764,CONGESTION,minor,30.09015,-95.44354,30.08972,-95.44407
472,3633086437681277606,CONGESTION,minor,35.26845,-97.48546,35.27372,-97.48547
473,1319750352300796244,ROAD_CLOSURE,critical,32.82902,-97.21958,32.8305,-97.2184
474,4528031677826244178,CONSTRUCTION,minor,30.77527,-94.42819,30.77539,-94.41189
475,3353747118067320958,ROAD_CLOSURE,critical,29.7615,-96.16436,29.76073,-96.16943
476,4587459877721289050,CONSTRUCTION,minor,32.49477,-94.35808,32.48757,-94.35945
477,1312296202422534196,ACCIDENT,minor,35.47862,-97.56611,35.47862,-97.56611
478,2840406776002904897,CONSTRUCTION,minor,34.49677,-100.3562,34.48949,-100.34793
479,203767008408984006,ROAD_CLOSURE,critical,32.47204,-94.00667,32.47198,-93.99702
480,4054546588397982515,CONSTRUCTION,minor,31.01646,-94.82391,31.0828,-94.81787
481,2967504909520239890,CONGESTION,minor,32.55689,-93.72191,32.55691,-93.71534
482,3374358032809268189,CONSTRUCTION,minor,29.98356,-98.60426,29.98083,-98.65573
483,767529132683160548,CONSTRUCTION,minor,28.71031,-96.55346,28.83379,-96.54224
484,2012528568954132343,CONSTRUCTION,minor,32.80079,-97.2212,32.80102,-97.22064
485,3282516789500966110,CONGESTION,minor,29.60867,-98.51655,29.60676,-98.52767
486,3363329575356131945,CONSTRUCTION,minor,33.582459,-95.903349,33.48986,-95.85722
487,1373468827321432296,CONSTRUCTION,minor,30.4205,-97.67239,30.40782,-97.67478
488,2793186648690162833,CONGESTION,minor,33.01274,-96.80242,33.01285,-96.82179
489,2208667543133605535,CONSTRUCTION,minor,32.35663,-95.84782,32.54461,-95.86294
490,1637303312073803883,CONSTRUCTION,minor,31.254799,-95.988332,31.482666,-96.091597
491,3534319705431446544,CONSTRUCTION,minor,30.73684,-95.57564,30.74181,-95.55827
492,1064368352185996862,ROAD_CLOSURE,critical,30.195883,-98.103972,30.197371,-98.104756
493,597650954901123796,ROAD_CLOSURE,critical,32.915,-96.8733,32.91312,-96.88166
494,1156945444425177691,CONSTRUCTION,minor,30.30362,-93.74414,30.27439,-93.78354
495,1783507954248213692,CONSTRUCTION,minor,31.312306,-92.45429,31.3051,-92.47965
496,266108038906113970,CONSTRUCTION,minor,32.21328,-96.36734,32.13314,-96.23303
497,2281813711761434672,CONSTRUCTION,minor,30.78134,-94.27028,30.78826,-94.18057
498,583746112839911973,ROAD_CLOSURE,critical,29.75289,-95.28503,29.75141,-95.285
499,467932530583627584,CONSTRUCTION,minor,30.37369,-93.20052,30.37365,-93.19636
500,538080116788304672,CONSTRUCTION,minor,31.5105,-94.60494,31.57962,-94.64315
501,453863397975442209,CONGESTION,minor,34.6656,-98.38093,34.67317,-98.38274
502,2527531432011175538,CONSTRUCTION,minor,29.60472,-98.50842,29.60822,-98.50826
503,1233613185578512037,CONSTRUCTION,minor,31.08473,-94.81752,31.01649,-94.82416
504,3737424423832935871,CONSTRUCTION,minor,32.51411,-94.98737,32.44283,-95.12856
505,3957749451362614596,CONSTRUCTION,minor,31.50437,-94.3015,31.50438,-94.30422
506,2118698984203920058,CONSTRUCTION,minor,31.38263,-94.32816,31.39394,-94.18639
507,4243029189525396450,CONSTRUCTION,minor,33.190193,-94.541276,33.05727,-94.59625
508,364464754813305464,CONSTRUCTION,minor,33.44955,-96.12927,33.44565,-96.16292
509,3965735283733603509,CONSTRUCTION,minor,30.33859,-94.3473,30.3683,-94.31728
510,770315763525529773,CONSTRUCTION,minor,35.64548,-97.46047,35.65864,-97.46044
511,1808680519639424739,CONSTRUCTION,critical,30.69393,-92.17757,30.70618,-92.18328
512,2561470433335484835,CONGESTION,minor,31.57196,-97.10957,31.57336,-97.11049
513,2516772023196694599,ACCIDENT,minor,35.51148,-97.58036,35.51148,-97.58036
514,4175029716126802075,DISABLED_VEHICLE,minor,30.34881,-97.7496,30.34881,-97.7496
515,630638210695084918,CONSTRUCTION,minor,33.33213,-99.47229,33.33562,-99.51786
516,4390585761944047455,CONSTRUCTION,minor,30.67921,-95.52431,30.7311,-95.58134
517,4459764038789644612,CONSTRUCTION,minor,30.24018,-92.62249,30.25756,-92.02021
518,3946682167582945733,CONSTRUCTION,minor,30.22537,-93.30745,30.22554,-93.3071
519,4347430174106923396,CONGESTION,minor,29.93896,-95.34829,29.93898,-95.34645
520,4497229442327635261,ROAD_CLOSURE,critical,32.88184,-97.12527,32.88188,-97.14044
521,4166399667215738043,CONGESTION,minor,32.76879,-96.82393,32.76998,-96.81809
522,2294815192981917884,CONSTRUCTION,minor,29.76429,-96.15317,29.76504,-96.15066
523,2956162685619025077,CONSTRUCTION,critical,32.91533,-96.86875,32.91565,-96.86765
524,4188861991504547706,CONSTRUCTION,minor,33.30137,-95.08707,33.34198,-95.10288
525,3081575394711707788,CONSTRUCTION,minor,33.473,-94.3012,33.47218,-94.30707
526,1054656104421955634,CONSTRUCTION,minor,31.534105,-92.945193,31.564,-92.96318
527,3027337592981102514,CONGESTION,minor,35.19219,-97.48641,35.18518,-97.49214
528,4195601560797112637,CONSTRUCTION,minor,30.6593,-92.19394,30.67832,-92.22857
529,2255876979218504042,CONSTRUCTION,minor,31.84424,-98.3351,31.84557,-98.34649
530,3581175984662620956,CONSTRUCTION,minor,30.78826,-94.18068,30.78134,-94.27028
531,3699595779238642607,CONSTRUCTION,minor,32.963822,-97.298187,32.959098,-97.309853
532,1298530863989948034,ROAD_CLOSURE,critical,30.197192,-98.104663,30.195883,-98.103972
533,3086349482011141146,CONSTRUCTION,minor,32.46664,-94.6216,32.46668,-94.62129
534,3240945156631330814,CONSTRUCTION,critical,35.6817,-97.42505,35.69615,-97.42515
535,657325685446556323,CONSTRUCTION,minor,31.36945,-94.75538,31.38506,-94.75836
536,3990989920229737075,CONGESTION,minor,29.76554,-95.36732,29.76363,-95.36994
537,3985388671313832618,CONSTRUCTION,minor,28.61569,-96.70753,28.61573,-96.70797
538,2950896894530587735,ROAD HAZARD,minor,32.12444,-97.49066,32.1226,-97.49426
539,3428106269852475323,CONSTRUCTION,critical,32.43155,-93.81812,32.43315,-93.81854
540,1818227046936562899,CONSTRUCTION,minor,28.95429,-97.82442,28.95415,-97.90788
541,224718302438510436,CONSTRUCTION,minor,32.96564,-97.31049,32.96079,-97.31059
542,2639801605248057580,CONGESTION,minor,32.75971,-97.22012,32.75971,-97.21778
543,3953863157222947035,CONGESTION,minor,29.80604,-95.44569,29.81063,-95.43669
544,1342425614285633009,CONSTRUCTION,minor,31.73558,-94.2514,31.74927,-94.23345
545,4358452794932640754,CONSTRUCTION,minor,35.1895,-97.28286,35.18921,-97.33546
546,1469279442590492885,ACCIDENT,minor,30.25716,-97.74689,30.25716,-97.74689
547,2277907790060578855,CONSTRUCTION,minor,32.46687,-94.62135,32.46682,-94.62168
548,3840342222214650141,ROAD_CLOSURE,critical,29.445963,-95.074303,29.44781,-95.07549
549,330269320627176696,CONSTRUCTION,minor,31.5796,-95.16552,31.65072,-95.07272
550,2727937494099408194,CONSTRUCTION,minor,28.91772,-97.73423,28.95319,-97.82314
551,3012527651033827458,CONGESTION,minor,35.66037,-95.30894,35.66143,-95.3088
552,483581770422008349,CONSTRUCTION,minor,30.66745,-96.97235,30.65069,-97.01206
553,1262922520128429422,CONGESTION,minor,29.68382,-95.34727,29.68325,-95.34918
554,3205193244338671794,ROAD_CLOSURE,critical,29.83535,-93.46753,29.96719,-93.36722
555,3123377768857730643,OTHER NEWS,major,35.11901,-92.45717,35.11923,-92.46076
556,4335082173460761299,ROAD_CLOSURE,critical,32.75436,-96.76513,32.756,-96.76645
557,2557608739941116782,CONGESTION,minor,32.84525,-96.81401,32.83958,-96.8147
558,4482849729296780291,CONSTRUCTION,critical,32.83812,-96.63286,32.9178,-96.74468
559,2091008982809164321,CONSTRUCTION,minor,29.69266,-98.10782,29.80105,-98.01506
560,393967964633542565,CONGESTION,minor,29.77754,-95.37185,29.77418,-95.36823
561,1721886686253308995,ACCIDENT,critical,32.74557,-97.48095,32.74557,-97.48095
562,1873562240947417312,CONSTRUCTION,minor,34.73932,-92.26221,34.74158,-92.26274
563,575038852156001321,ROAD_CLOSURE,critical,32.86693,-96.66617,32.8665,-96.66564
564,3181519714129693394,CONGESTION,minor,29.93737,-95.49873,29.93722,-95.50902
565,3612680619126265831,CONGESTION,minor,32.77258,-96.62341,32.7769,-96.62412
566,3397239270466620495,CONSTRUCTION,minor,33.637747,-96.616532,33.635928,-96.61645
567,526381099936543202,OTHER NEWS,critical,32.92034,-96.81831,32.92151,-96.81859
568,309038356921859242,CONSTRUCTION,minor,29.37102,-98.63678,29.37308,-98.63762
569,4174568754229194148,ROAD_CLOSURE,critical,32.49835,-92.11121,32.499357,-92.109959
570,756061538162413673,CONSTRUCTION,minor,32.55709,-93.72624,32.55853,-93.72666
571,75064377890433593,ROAD_CLOSURE,critical,29.74816,-98.05848,29.74612,-98.05701
572,926606735851962488,CONSTRUCTION,minor,29.75593,-98.70636,29.78288,-98.7414
573,3309355749924118515,ROAD_CLOSURE,critical,29.43042,-98.48519,29.43252,-98.48276
574,553300359555798727,ROAD_CLOSURE,critical,33.203329,-97.147288,33.202771,-97.147282
575,387129058569964939,CONGESTION,minor,32.65349,-96.71216,32.65609,-96.71713
576,4449908887527940080,CONSTRUCTION,minor,29.69111,-98.10971,29.69261,-98.11048
577,732848270318981257,CONSTRUCTION,minor,29.83259,-94.38491,29.93146,-94.26874
578,2493627479821997132,CONSTRUCTION,minor,32.60623,-99.69222,32.5214,-99.71695
579,2789019381148314141,MISCELLANEOUS,critical,32.84397,-93.35332,32.8435,-93.35453
580,3802743005952127403,CONGESTION,minor,32.78278,-97.46797,32.77872,-97.47248
581,3367740705958612297,CONSTRUCTION,minor,31.91547,-97.66537,31.65639,-97.4628
582,4110681929807991592,CONSTRUCTION,minor,31.93284,-97.10488,31.91859,-97.09864
583,293000962888951494,CONSTRUCTION,critical,32.63939,-97.3043,32.63105,-97.3043
584,1151191415192837333,CONSTRUCTION,minor,29.64688,-98.94544,29.68428,-98.95835
585,4031384544148626276,CONSTRUCTION,minor,32.07816,-99.91604,31.75252,-99.93366
586,4583048771324151466,ROAD_CLOSURE,critical,32.77463,-96.81173,32.77239,-96.81082
587,1386532888920357018,CONSTRUCTION,minor,30.08145,-92.362,30.03976,-92.31952
588,810574594297716661,CONSTRUCTION,minor,30.24444,-93.18304,30.23712,-93.24782
589,1935211420489686583,CONGESTION,minor,29.4049,-98.55904,29.40488,-98.5588
590,556415100403047417,CONGESTION,minor,31.62457,-97.09686,31.6241,-97.09709
591,3484949389354677298,CONSTRUCTION,minor,31.44613,-94.09436,31.40713,-94.0587
592,2793423805284227911,ROAD_CLOSURE,critical,32.99027,-97.22437,32.99765,-97.21573
593,801211031670165769,CONSTRUCTION,minor,29.44451,-98.36218,29.4644,-98.29548
594,4401114857057271657,CONSTRUCTION,minor,30.23983,-93.25766,30.23924,-93.25766
595,1110059710568541754,CONSTRUCTION,minor,31.62049,-93.97138,31.62178,-93.97449
596,830532296606129223,ROAD_CLOSURE,critical,32.978528,-97.263154,32.979708,-97.263334
597,3785853280951604855,ROAD_CLOSURE,critical,29.4887,-98.2211,29.48897,-98.22033
598,4366508081047905126,ROAD_CLOSURE,critical,29.77069,-93.46372,29.76145,-93.57732
599,3728753027442073876,CONGESTION,minor,29.48283,-98.40352,29.47938,-98.40418
600,999834502945608412,ROAD_CLOSURE,critical,32.91369,-96.87733,32.91273,-96.8771
601,3241901536707998757,CONSTRUCTION,critical,31.57336,-97.11049,31.58485,-97.11489
602,254505808503481748,CONSTRUCTION,minor,32.22998,-100.26168,32.16525,-100.21975
603,4291566419722507057,CONSTRUCTION,critical,35.46282,-97.63648,35.4588,-97.63639
604,2564114850829231552,CONSTRUCTION,minor,28.34733,-99.14632,28.21085,-99.03651
605,2499196969463692081,CONSTRUCTION,minor,29.57644,-96.91602,29.58902,-96.91755
606,1428123729634231385,CONSTRUCTION,minor,31.39395,-94.18639,31.38263,-94.32816
607,1757090865163171220,CONSTRUCTION,minor,31.42643,-94.26483,31.53083,-94.12618
608,1244201713305359839,CONSTRUCTION,minor,31.47624,-95.37842,31.39573,-95.40479
609,3777498540315511488,CONSTRUCTION,minor,29.20513,-96.24318,29.17528,-96.27332
610,1547534835971773425,CONSTRUCTION,minor,32.22681,-95.81205,32.2205,-95.87922
611,2596904902975818073,CONSTRUCTION,critical,33.0087,-96.66651,33.0088,-96.66662
612,2719695669013567587,CONSTRUCTION,minor,32.4923,-98.54479,32.48791,-98.55833
613,42987029658847822,ROAD_CLOSURE,critical,32.85116,-96.58284,32.85119,-96.58666
614,1577890748460566526,CONSTRUCTION,minor,30.01088,-93.22731,30.01121,-93.22893
615,199123298958058724,CONSTRUCTION,minor,33.57611,-98.43699,33.68579,-98.47048
616,3521517732927890247,CONGESTION,minor,32.73706,-97.06235,32.73991,-97.06228
617,1844660106463407763,CONSTRUCTION,minor,35.42303,-97.61438,35.42014,-97.58675
